rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
1063	597	140	0.028	87.173	0.186	753.501	1388.21	wiki:62%	 from  since  until  between  of  Since
1064	610	140	0.028	87.201	0.307	640.2706	1146.1289	code:98%	0 1 2 10 100 4
1065	638	140	0.028	87.23	0.039	847.5645	1649.354	pile:95%	05 001 3 1  years  cent
1066	1083	140	0.028	87.258	0.307	635.4502	1389.3643	pile:95%	 patients  subjects  children  adults  women  Patients
1067	1116	140	0.028	87.287	0.604	859.5615	1492.9708	math:39%	 and  but  still  however  now  particular
1068	1901	140	0.028	87.315	0.014	806.3247	1447.9043	code:99%	 primary _package  devel (training (book (slot
1069	394	138	0.028	87.343	0.336	946.7148	1546.2303	math:95%	$. . ? \xa0 • ).
1070	1676	138	0.028	87.371	0.092	685.2247	1056.8193	wiki:68%	200 201 197 177 180 199
1071	1959	138	0.028	87.399	0.938	1015.5654	1919.3182	math:65%	  (
1072	1979	138	0.028	87.427	0.043	1170.0829	1716.8745	pile:39%	 of  quick ,  the  with  hydraulic
1073	312	137	0.028	87.455	0.18	464.458	1034.6514	pile:99%	 =  +  - , olve )
1074	1119	137	0.028	87.483	0.072	1080.4218	1575.6351	math:69%	 and  the  of ,  with on
1075	1536	137	0.028	87.511	0.652	934.8467	1508.2617	wiki:93%	 the  The The  ancient  former Its
1076	1972	137	0.028	87.539	0.078	793.625	1506.3965	math:97%	1 (x 3 right 2 x
1077	1001	136	0.028	87.566	1.0	383.2285	824.4551	code:96%	 
1078	1480	136	0.028	87.594	0.417	1127.875	2381.752	math:29%	 R R CTR
1079	322	135	0.027	87.622	0.07	895.7757	1880.5107	code:43%	x \\u u 020 , .
1080	612	135	0.027	87.649	0.004	793.6045	1625.5055	web:35%	ming ández le ne el an
1081	1131	135	0.027	87.677	0.103	631.7139	1248.5605	wiki:32%	 November  January  December  March  October  August
1082	1569	135	0.027	87.704	0.069	1064.0907	1650.0249	math:100%	 the  of  and  with  have ,
1083	107	134	0.027	87.731	0.319	844.4005	1674.9286	code:96%	__ '] ] ]] "] ]"
1084	289	134	0.027	87.758	1.0	1072.6337	1846.6688	web:51%	 a
1085	314	134	0.027	87.786	1.0	96.7578	208.0684	code:97%	-
1086	487	134	0.027	87.813	0.042	1043.0903	1620.6758	wiki:55%	 and ,  many  first  African  Latin
1087	619	134	0.027	87.84	0.889	339.6133	753.0137	code:100%	#  #    
1088	714	134	0.027	87.868	1.0	1076.4932	1969.0597	wiki:93%	 
1089	1421	134	0.027	87.895	0.445	397.8828	947.1026	math:99%	\n\n ?\n\n )\n\n $\n\n  ?\n\n ]\n\n
1090	771	133	0.027	87.922	0.42	1045.4902	1764.4922	web:39%	 very  too  extremely  pretty  quite  fairly
1091	1369	133	0.027	87.949	0.339	1159.1339	2084.1904	math:86%	_ ^   _{ ( /
1092	1397	133	0.027	87.976	0.299	614.4864	1141.1942	math:98%	 – \xa0  @ \n ,  by
1093	1537	133	0.027	88.003	0.71	1048.7412	1775.1797	wiki:64%	 the  The The .The 's
1094	1830	133	0.027	88.03	1.0	1202.4728	1775.6719	math:91%	}
1095	569	132	0.027	88.057	0.269	659.0098	1132.9414	code:98%	#  #
1096	1039	132	0.027	88.084	0.249	892.9639	1376.7267	pile:67%	</  < ></ ('  </ "></
1097	1323	132	0.027	88.111	0.35	977.1211	2057.7014	pile:30%	 G G =G
1098	1356	132	0.027	88.137	1.0	808.3525	1343.9237	code:68%	 
1099	1785	132	0.027	88.164	0.321	929.0737	1259.8682	code:98%	 coding  -*- 8 3 ; 2
1100	1888	132	0.027	88.191	0.709	749.8828	1281.2841	math:97%	 $  $$  ($  $( -$
1101	70	131	0.027	88.218	0.364	827.5283	1651.1532	web:27%	 does  do  did  Does  need  Could
1102	73	131	0.027	88.244	0.714	1260.8419	1851.8599	pile:38%	 the ,  The The  its  compressed
1103	269	131	0.027	88.271	0.489	672.0078	1836.3898	math:63%	,  and  ,  with : $
1104	595	131	0.027	88.298	0.121	624.5893	1305.9501	wiki:34%	 one  part  number  range  kind  amount
1105	1372	131	0.027	88.324	0.029	981.6611	2145.8323	code:77%	\n . , - 128 000
1106	1603	131	0.027	88.351	0.019	580.0635	929.3989	wiki:95%	 Australia  Texas  Virginia  Illinois  Iran  Pennsylvania
1107	1667	131	0.027	88.378	1.0	621.6899	1088.3329	wiki:72%	 
1108	113	130	0.026	88.404	0.496	950.504	1702.0626	math:63%	0 1 2 5 4 22
1109	359	130	0.026	88.431	0.136	920.6582	1461.4442	wiki:38%	201 190 192 200 108 202
1110	608	130	0.026	88.457	0.019	741.1455	1393.1289	pile:80%	 entitlement  services  body  technology  ticket  tone
1111	665	130	0.026	88.483	0.314	710.8985	1361.6495	web:38%	 so So  So so  However However
1112	1038	130	0.026	88.51	0.061	974.2842	1542.0487	wiki:78%	),  the 7  American 0 4
1113	1664	130	0.026	88.536	0.061	1261.5049	1848.1465	web:92%	age  Kia  BMW  rear  a  and
1114	1861	130	0.026	88.563	0.495	1278.6542	2243.8972	math:28%	 L L "L  l ,L
1115	1911	130	0.026	88.589	0.765	573.0195	1029.3691	code:99%	__( ).__
1116	469	129	0.026	88.615	0.641	1056.5361	1628.6344	wiki:55%	 the  The The  he
1117	1444	129	0.026	88.642	0.401	648.8428	1630.9493	wiki:96%	 his 's  His  her  their '
1118	1755	129	0.026	88.668	0.033	1296.8461	1906.7855	web:57%	,  Audi  muscle 4  American emi
1119	1849	129	0.026	88.694	0.58	472.0488	902.4112	code:62%	201 200
1120	252	128	0.026	88.72	1.0	1102.2545	1808.4354	math:38%	,
1121	918	128	0.026	88.746	0.159	751.499	1400.2006	math:53%	Thanks  Thanks  you Hi  thanks  thank
1122	1195	128	0.026	88.772	0.014	921.0507	1440.9911	web:94%	 good  delicious  drinks  formed  easy  nuts
1123	1532	128	0.026	88.798	0.435	484.3164	865.664	math:100%	?\n\n .\n\n \n\n !\n\n $\n\n ?)\n\n
1124	688	127	0.026	88.824	0.329	1001.5205	1595.7871	web:45%	 come  comes  came  coming  me  brought
1125	1623	127	0.026	88.85	0.308	731.3867	1098.627	wiki:77%	 He  he  She He ki enzie
1126	57	126	0.026	88.876	0.047	909.4682	1559.9342	web:99%	 Africa  Crusher  of  crusher ;  South
1127	438	126	0.026	88.901	0.552	516.8458	1055.7589	code:100%	 .  ..  ...  ._ ._  _
1128	1435	126	0.026	88.927	0.177	1062.9141	1514.6719	code:78%	 %  \\ '\\ \\ /%  "%
1129	1559	126	0.026	88.953	0.075	782.5372	1727.618	math:86%	 -  | )( /( \xa0 =-
1130	1811	126	0.026	88.978	0.916	1035.9279	1764.8086	pile:87%	 (  [  {
1131	249	125	0.025	89.004	0.043	1087.1246	1691.9493	pile:84%	od  vac  aux at  nucle pos
