rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
585	1897	239	0.049	68.595	0.563	818.1181	1335.6895	wiki:94%	, ), ., !),  , !,
586	262	238	0.048	68.644	0.414	1077.4882	1699.9893	wiki:53%	 area  region  areas  regions  Area  regional
587	445	238	0.048	68.692	0.865	631.4335	1066.5869	wiki:92%	. ). ].
588	926	238	0.048	68.74	0.382	711.4648	990.6562	code:91%	 Copyright ) Copyright  copyright
589	1043	238	0.048	68.789	0.425	1237.4258	1877.0851	math:29%	" ' ” ` ’ }
590	804	237	0.048	68.837	0.136	1546.3114	2715.2537	web:42%	 fine  quality  well  perfect  superior  better
591	836	237	0.048	68.885	0.249	1243.8984	2258.5376	pile:48%	:\n \n ):\n >\n ">\n ">\r\n
592	984	237	0.048	68.933	0.213	1079.0568	1704.9297	pile:34%	7 5 6 4 1 8
593	1009	237	0.048	68.982	0.091	807.2666	1479.9601	code:57%	=" ='  '  "
594	687	236	0.048	69.03	0.901	913.3906	1435.3751	math:28%	 can can  Can
595	1000	236	0.048	69.078	0.367	911.8466	1543.4728	code:27%	 create  creating  created  creates .create  Create
596	1610	235	0.048	69.125	0.505	852.4208	1626.2266	math:48%	 problem  problems  Problem Problem  Problems BLEM
597	454	234	0.048	69.173	0.777	992.2344	1693.7716	wiki:26%	 by by  By By  BY
598	1228	234	0.048	69.221	0.773	720.0	1569.5977	math:67%	\n\n )\n\n \n .\n\n '\n\n ?\n\n\n
599	254	233	0.047	69.268	0.155	256.2915	1226.9058	math:26%	 Sh  Sch  sh  shr  sch Sh
600	1078	233	0.047	69.315	0.932	607.4062	1346.5039	wiki:61%	  - _ \n\n
601	1322	233	0.047	69.363	0.476	655.8554	1299.5331	code:91%	 get .get get  Get _get (get
602	1463	233	0.047	69.41	0.417	752.8798	1446.2852	math:64%	 we  We We we
603	568	232	0.047	69.457	0.278	910.1465	1726.5184	code:43%	 add .add  adding  Add Add  added
604	1052	232	0.047	69.505	0.514	854.1446	1425.4608	web:41%	 I I i  i ,I
605	1908	232	0.047	69.552	0.025	1125.2628	1897.2714	code:91%	_name  s  direction Str ing _path
606	289	231	0.047	69.599	0.644	363.7832	515.7245	code:99%	 GNU .gnu GNU
607	317	231	0.047	69.646	1.0	770.4999	1164.1407	wiki:84%	 a
608	1255	231	0.047	69.693	0.119	977.1581	1550.1073	web:32%	 has  have
609	624	230	0.047	69.74	0.108	1655.4668	2471.9231	code:90%	 range join  str  isinstance (str  int
610	1105	230	0.047	69.786	0.064	1308.3584	2003.7754	math:40%	 m  cm m  mg kg  hectares
611	4	229	0.047	69.833	0.882	679.6416	1557.9816	math:36%	.  . =.
612	569	229	0.047	69.88	0.738	893.6221	1667.3965	pile:64%	\n  \n \n\n ]\n \\\n  \\\n
613	1054	229	0.047	69.926	0.955	775.4209	1558.9354	wiki:64%	  \xa0
614	1235	229	0.047	69.973	0.673	1044.7592	1930.9347	math:28%	; );  ; ]; }; ";
615	200	228	0.046	70.019	0.442	1151.9562	1829.2589	web:34%	 they  They They they  people
616	210	228	0.046	70.065	0.078	928.9794	1773.6444	wiki:50%	 Alabama  Kong  Illinois  Texas  Iowa  Colorado
617	214	228	0.046	70.112	0.055	779.5801	1530.3185	math:80%	in ov ff etz and i
618	857	228	0.046	70.158	0.854	1191.6249	2254.7324	math:33%	 some some Some ome  som
619	1266	228	0.046	70.205	0.125	1066.8234	1864.1807	math:27%	 a  A A a
620	1870	228	0.046	70.251	0.786	1031.4443	1717.0135	math:27%	 can  could  CAN can  Can Can
621	197	226	0.046	70.297	0.326	1236.8418	1853.4003	wiki:41%	 has  have  had ’ve
622	409	226	0.046	70.343	0.833	704.2665	1231.9022	code:90%	              \t
623	456	226	0.046	70.389	0.955	801.1368	1293.5898	pile:53%	 ( (
624	1216	226	0.046	70.435	0.231	546.7335	1251.9647	code:93%	.\n\n \n\n #\n\n />.\n\n \n """\n\n
625	1397	226	0.046	70.481	0.552	1738.3231	2614.2393	web:42%	 up  out  down  Up  off -up
626	58	225	0.046	70.527	0.41	1226.8595	1717.4708	code:63%	 test test  tests  Test  testing testing
627	314	225	0.046	70.572	0.293	1234.2413	2057.5068	code:28%	 time -time  Time  times .time  timeout
628	1699	225	0.046	70.618	0.656	1178.6991	1996.6395	web:29%	 through  via Through via through  thru
629	167	224	0.046	70.664	0.785	959.5684	1609.962	wiki:63%	, ), ", ., ," .",
630	679	224	0.046	70.709	0.294	922.0059	1872.6416	pile:50%	import ,  import #include \t #import
631	704	224	0.046	70.755	0.943	1265.6328	2070.5488	wiki:38%	 or  o or
632	723	224	0.046	70.8	1.0	1034.4229	1477.0236	math:29%	 to
633	404	223	0.045	70.846	0.437	771.6602	1433.9149	math:70%	,  and ; ), 1  ,
634	1239	223	0.045	70.891	0.348	916.3301	1938.8221	math:61%	 - - =- (- ,- −
635	159	222	0.045	70.936	0.474	861.7256	1715.3486	math:30%	 method  methods  Method Method  means  Methods
636	622	222	0.045	70.981	0.737	552.6211	995.7988	code:92%	def  def function func
637	1479	222	0.045	71.027	0.216	756.1436	1569.7872	code:89%	 config .config  configuration  Config Config config
638	469	221	0.045	71.072	0.582	637.1875	1364.207	math:95%	^ ^{ )^ |^  ^{ ^\\
639	668	221	0.045	71.117	0.654	1177.2372	1815.6427	code:41%	: ):  : `:
640	1018	220	0.045	71.161	0.316	1141.209	2138.8047	wiki:40%	 current  modern  present  Modern  Current current
641	1729	220	0.045	71.206	0.84	1186.6025	2077.1453	wiki:39%	, ),  , $, ",
642	231	219	0.045	71.251	0.07	1281.7167	2354.8579	web:28%	�  /**  � ύ , 、
643	1657	219	0.045	71.295	0.303	1188.5079	1628.329	code:98%	 or )  ( #       
644	52	218	0.044	71.339	0.043	1032.4054	1640.9941	wiki:65%	di us enzie erson ne th
645	1919	218	0.044	71.384	0.153	1496.7841	2516.594	wiki:36%	 instead  respect  terms  rather  result  opposed
646	8	217	0.044	71.428	0.089	652.8105	1334.707	math:35%	 April  June  March  July  February  September
647	135	217	0.044	71.472	0.342	1053.2804	1583.5605	pile:88%	: Category  births  people  journals ists
648	426	217	0.044	71.516	0.689	964.7325	1637.4932	math:69%	\n\n \n !\n\n ?\n\n }\n :\n\n
649	1022	217	0.044	71.56	0.771	1111.8613	1632.7745	wiki:54%	; "; ); .;  ();  ;
650	1301	217	0.044	71.604	0.864	1046.8633	2091.2344	wiki:35%	 also  juga  further ién also Also
651	1678	217	0.044	71.649	0.134	1063.8556	1958.4453	web:33%	 on  at  in  with  to  into
652	1976	217	0.044	71.693	0.696	964.168	1493.1796	wiki:29%	 which which  wich
653	337	216	0.044	71.737	0.232	825.291	1666.4415	code:41%	 base  basic  Base base Base  basis
654	1273	216	0.044	71.781	0.74	872.999	1365.8895	math:55%	. ). $. ". ++. |.
655	1462	216	0.044	71.825	0.758	866.6494	1409.7919	wiki:64%	 was  were
656	1501	216	0.044	71.869	0.403	1428.91	2352.1445	web:39%	 see  seen  saw  seeing see  sees
657	1787	216	0.044	71.912	0.882	1131.0703	1771.5839	wiki:37%	 into into  to
658	576	215	0.044	71.956	0.907	1115.1525	1825.1699	web:30%	 and _and  &  dan 和
659	1102	215	0.044	72.0	1.0	778.2314	1188.2998	math:94%	frac
660	147	214	0.044	72.043	0.489	586.6914	1582.3273	wiki:53%	 world  World  worldwide world  Worldwide World
661	442	214	0.044	72.087	0.359	917.4297	1587.1758	pile:51%	.\n\n .\n \n\n  \n \n ).\n\n
662	458	214	0.044	72.131	0.458	957.6378	2072.7568	math:53%	 [ [  '[  ([ [x ][
663	1232	213	0.043	72.174	0.238	1062.4823	1722.9365	code:39%	0 1 2 3 5 4
664	1586	213	0.043	72.217	0.153	1158.8608	1833.3633	code:48%	 Microsoft  matplotlib  MIT  MATLAB  MySQL  Mozilla
665	778	212	0.043	72.26	0.1	1234.129	1862.7744	pile:35%	20 30 40 32 50 26
666	1864	212	0.043	72.303	0.955	922.9551	1529.3779	wiki:30%	 the  el
667	1865	212	0.043	72.347	0.55	999.4268	1714.0195	math:55%	.\n\n \n\n ).\n\n !\n\n .\n ?\n\n
668	24	211	0.043	72.389	0.172	453.6572	942.8096	wiki:44%	 John  Joseph  James .  Jean  Jim
669	1744	211	0.043	72.432	0.747	1245.9609	1938.3905	web:92%	.\n ).\n .\n\n 。\n\n ".\n !\n
670	1946	211	0.043	72.475	0.199	1507.2305	2487.8799	pile:36%	 significant  significantly  strong  substantial  extensive  greatly
