rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
63	1180	793	0.161	13.337	0.114	1070.2134	1773.4556	math:38%	 quantum  linear  differential  Linear omial  binary
64	25	791	0.161	13.498	1.0	1076.7373	1574.0175	wiki:33%	,
65	1116	791	0.161	13.659	0.019	609.3891	1248.2958	wiki:52%	arm al ch ik od aut
66	312	785	0.16	13.819	0.133	1152.298	2539.4746	math:51%	� 代  � 符 黎 林
67	603	781	0.159	13.977	0.026	1052.3971	1936.4364	web:33%	 properties  Rules  results  arguments  laws  conditions
68	1114	779	0.158	14.136	0.243	992.1211	1652.9307	code:80%	 '  " (' (" =" ='
69	1959	779	0.158	14.294	1.0	911.4756	1719.9933	wiki:28%	 an
70	1252	777	0.158	14.452	0.047	1185.9824	1927.4728	math:35%	 convex  compact  affine ant ducible tic
71	1449	777	0.158	14.61	0.028	1423.5859	2115.8975	math:28%	ize  update ing  extend  fix  isolate
72	26	776	0.158	14.768	0.869	1102.2852	1591.7968	wiki:39%	, ), ], $, .,
73	325	766	0.156	14.924	1.0	737.3018	1408.4882	wiki:72%	 the
74	1293	764	0.155	15.08	0.955	1002.0331	1647.4979	wiki:31%	 and and
75	1749	764	0.155	15.235	0.06	1335.1836	2148.634	web:30%	 concept  result  approach  experience  mechanism  option
76	139	761	0.155	15.39	0.041	1215.1449	1809.1675	math:27%	 elements  devices  machines  cells  objects  files
77	53	760	0.155	15.544	1.0	718.9277	1295.0273	math:33%	 the
78	1383	760	0.155	15.699	0.025	959.4449	1762.3729	code:74%	_address _id  font edge  tab status
79	1070	755	0.154	15.853	0.024	1582.3475	2491.7876	web:42%	 mind  effect  basis  contact  rest  order
80	206	751	0.153	16.005	0.955	932.8329	1612.7784	wiki:32%	 and and
81	1780	749	0.152	16.158	0.107	479.0596	1044.3351	wiki:40%	 John  David  Robert .  James  Peter
82	1088	738	0.15	16.308	0.415	807.9775	1421.6289	code:92%	                        \t  
83	1192	732	0.149	16.457	0.067	1065.1896	1741.8373	math:27%	 theorem  equation  alphabet  model  function  method
84	34	728	0.148	16.605	0.955	954.21	1521.9678	wiki:32%	 and  AND
85	1069	724	0.147	16.752	0.044	1418.7184	2276.9114	wiki:42%	 defeats  defeat  satisfies  covers  defeated ed
86	1409	722	0.147	16.899	0.085	1011.6617	1715.9772	wiki:66%	 War  Island  Sea  Church ago  Republic
87	1833	718	0.146	17.045	0.352	1096.4209	1974.3477	wiki:38%	 to  on  with  of  against  by
88	1479	717	0.146	17.191	0.943	1059.8837	1883.4647	math:32%	 this this  THIS
89	641	715	0.145	17.336	0.02	968.5156	1744.2814	code:83%	(file _id _rank  name _path  value
90	1665	708	0.144	17.48	0.05	1123.3193	1904.3976	wiki:37%	 surface  table  space  Sun  Earth  sea
91	74	704	0.143	17.623	0.055	866.733	1931.3927	code:41%	 mp  CD MQ  tx  db  Cp
92	751	704	0.143	17.767	0.055	1262.042	2142.5039	wiki:29%	 applied  formed  performed  spoken  conducted  stored
93	1044	703	0.143	17.91	0.033	1349.7257	2111.7478	pile:24%	 store  plot  install  load  download  installed
94	1928	703	0.143	18.053	0.943	1045.1407	1692.8153	math:32%	 in  IN -in
95	658	702	0.143	18.195	0.026	1033.2441	1994.5763	math:67%	 Subject Posts  Date Environment ISBN Share
96	1761	695	0.141	18.337	1.0	987.5054	1752.8965	wiki:31%	 in
97	147	694	0.141	18.478	0.042	1078.7074	1761.8301	wiki:63%	us ius is a  Mozart  Aristotle
98	1570	694	0.141	18.619	0.043	969.3228	1678.6035	code:35%	  . : \\ {            
99	837	692	0.141	18.76	1.0	880.4999	1374.7596	wiki:37%	 the
100	157	691	0.141	18.901	0.771	1237.5927	2054.1836	wiki:50%	, ), ", "),  , $,
101	1883	688	0.14	19.04	0.955	1073.3185	1693.792	wiki:27%	 and  y
102	1443	687	0.14	19.18	0.194	788.8799	1432.0654	code:78%	 '  " (" (' =' ="
103	1385	682	0.139	19.319	0.031	482.5586	1061.132	wiki:41%	 Jean .  John  Maria  Marc  Johann
104	1033	680	0.138	19.457	0.012	435.7417	1020.625	wiki:35%	 Bel  Car  Bar  Law  Dav  Ish
105	1024	679	0.138	19.595	0.045	1240.3257	1806.5078	web:44%	 Apollo age  Force  Ball mi arta
106	1996	677	0.138	19.733	1.0	955.5254	1741.8739	wiki:31%	 a
107	687	670	0.136	19.869	0.728	698.8096	1110.5089	wiki:94%	. ). ". ').
108	1790	670	0.136	20.006	0.503	695.5449	1277.4435	code:97%	\n \n\n \n\n\n \r\n \r\n\r\n
109	288	669	0.136	20.142	0.08	711.5215	1829.4863	wiki:40%	ic  molecular  optical ometric ical  theoretical
110	122	666	0.135	20.277	0.072	949.6426	1776.7941	pile:34%	 communication  design  animation  encryption ryption  transport
111	130	664	0.135	20.412	0.101	1120.0742	2177.9307	math:26%	 video  vector  vertex  view  vowel  variable
112	412	663	0.135	20.547	0.04	1044.9668	1914.6554	pile:32%	 treatment  expression  production  infection ation  movement
113	748	663	0.135	20.682	1.0	1260.2682	1956.9337	wiki:32%	 to
114	871	663	0.135	20.817	0.291	750.5518	1253.0175	code:90%	',\n ,\n ",\n '],\n  },\n ),\n
115	619	660	0.134	20.951	0.034	1256.2188	2157.428	web:45%	 stable  robust  realistic  compact y  smooth
116	1388	653	0.133	21.084	0.801	932.4141	1399.5848	math:33%	. ). ”). ]. `. $.
117	10	650	0.132	21.216	1.0	491.0264	1164.79	code:31%	201
118	609	650	0.132	21.348	1.0	1123.4337	1815.4396	web:36%	 a
119	1281	646	0.131	21.48	0.456	630.5156	1338.2762	math:98%	 \\ \\ }\\ )\\ ]\\
120	1936	646	0.131	21.611	0.955	1005.2403	1604.2637	pile:26%	 for for
121	406	641	0.13	21.742	0.039	1240.9023	1957.1366	wiki:36%	 definition  proof  implementation  design  transition  expansion
