rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
192	465	436	0.089	26.862	0.029	928.9131	1927.7029	pile:54%	pt - uc os ethyl yl
193	1328	436	0.089	26.95	0.317	1824.0997	2782.9368	wiki:37%	 many  of  various  several  numerous  multiple
194	901	433	0.088	27.039	0.034	1251.7715	2166.7	pile:69%	el oph ro omy bell oc
195	1117	433	0.088	27.127	0.269	1404.0219	2326.5	wiki:92%	 the  of  to  family  in  a
196	1618	430	0.087	27.214	1.0	1284.4307	2153.2263	math:67%	 the
197	265	428	0.087	27.301	0.554	1724.7369	2821.0173	wiki:47%	 its  their  Its 's  whose  it
198	1760	427	0.087	27.388	0.573	1585.0215	2404.9207	math:76%	 of  on  in  to  for  over
199	407	426	0.087	27.475	0.102	1182.0411	1988.72	code:84%	.python  tensorflow  pulp ite ani  mne
200	717	426	0.087	27.561	0.955	1348.7799	2307.9854	wiki:79%	 the the
201	399	425	0.086	27.648	0.787	1215.6561	2423.4111	wiki:46%	 of  de -of of  d '
202	381	424	0.086	27.734	0.036	1385.7181	2473.2314	web:52%	 Apple  Audi  FOX  HP  IBM S
203	1464	424	0.086	27.82	0.282	1321.1826	2143.272	code:81%	 ' (' ='  " ("  ['
204	442	422	0.086	27.906	0.323	952.0842	1902.6211	code:63%	     ' \t ,\n ,        
205	28	421	0.086	27.992	0.61	952.5232	1972.5524	math:98%	 \\ \\ {\\  {\\ (\\  $\\
206	103	421	0.086	28.077	0.079	1548.907	2515.636	math:84%	 finite  compact  convex able ducible  measurable
207	1225	421	0.086	28.163	0.866	1719.34	2598.0242	math:43%	 for  to  FOR  of
208	480	420	0.085	28.248	0.806	1221.2972	2367.2979	math:43%	:  :   :\n .: $:
209	1142	420	0.085	28.334	0.043	2122.2864	3058.1628	pile:26%	 form  system  approach  view  format  structure
210	378	417	0.085	28.419	0.013	1995.5726	3123.396	wiki:32%	 system  philosophy $  case  mechanics  mythology
211	1552	416	0.085	28.503	0.955	1380.3281	2087.8237	code:40%	0 -
212	268	415	0.084	28.588	0.318	1314.6287	2391.6365	math:88%	 +  - + -   +\\
213	932	415	0.084	28.672	0.557	1638.2759	2497.0554	wiki:28%	 that  which  que
214	299	414	0.084	28.756	0.014	1584.7433	2490.9255	code:64%	MQ /fl Tra Man egot ac
215	1409	414	0.084	28.841	0.019	1072.7802	2072.0344	code:90%	 Model  Interactive  User  Impro ly  Base
216	1016	413	0.084	28.925	0.328	1240.5024	2498.9324	math:26%	 use  using  used  Use  of  uses
217	808	412	0.084	29.008	0.021	1830.662	2813.092	code:62%	 dice p Student ava Tile ant
218	1957	412	0.084	29.092	0.107	893.6277	1600.3717	wiki:35%	 c  t  l  b  g  m
219	667	411	0.084	29.176	0.748	1661.4269	2568.7922	wiki:69%	, ), ", "), $, !,
220	556	408	0.083	29.259	0.145	370.0747	946.302	code:93%	 the  of
221	518	407	0.083	29.342	0.595	1548.4604	2352.0161	wiki:77%	 a  an  A
222	742	407	0.083	29.424	0.522	1257.5787	1987.9874	code:97%	 self (self self \tself =self  this
223	1671	407	0.083	29.507	0.54	1824.6176	2931.4585	web:35%	 it  them  him  so los  her
224	146	405	0.082	29.59	0.955	1717.2833	2565.3398	math:37%	 of  de
225	84	402	0.082	29.671	0.015	2071.386	2902.2488	code:78%	.load .dumps d .placeholder  render set
226	1830	402	0.082	29.753	0.116	1347.7854	2289.0559	wiki:64%	 French  British  German  Swedish  Indian  Japanese
227	1700	401	0.082	29.835	0.932	1724.6302	2849.9478	web:38%	 in  dalam in  In
228	1545	400	0.081	29.916	0.488	1328.7202	2383.24	wiki:70%	 as  called  the  name  named  entitled
229	706	399	0.081	29.997	0.061	1610.3159	2568.4907	pile:77%	 pulmonary ial al  spinal inal  liver
230	942	399	0.081	30.078	0.85	1094.1909	2175.2039	wiki:52%	 and  or  the ,  και  &
231	272	398	0.081	30.159	0.166	1085.567	1977.7269	math:98%	  \n : Posts \n\n Joined
232	874	398	0.081	30.24	0.032	1699.3093	2697.5024	math:33%	C  ppm v  degrees eg  cm
233	1688	398	0.081	30.321	0.063	2098.4775	3028.0259	web:44%	 time  possible  all  way  place  before
234	1483	397	0.081	30.402	0.77	1652.2368	2545.3745	math:41%	 and  & and  or  the _and
235	56	396	0.081	30.483	0.156	1104.9991	1772.3129	code:79%	',\n ,\n \n ",\n "),\n ),\n
236	382	395	0.08	30.563	0.341	1107.5616	1811.08	math:95%	 $\\ \\ $\\  \\ math {\\
237	1752	395	0.08	30.643	0.782	311.855	685.1985	wiki:97%	.\n\n ).\n\n ".\n\n
238	1589	392	0.08	30.723	0.161	831.2476	1941.0837	pile:23%	 re  Re Re re  Res  rem
239	1753	392	0.08	30.803	0.347	1427.0358	2677.5649	wiki:54%	 to  of  with  from  by  on
240	1782	392	0.08	30.882	0.943	1209.145	2101.1543	wiki:87%	 the  The  a
241	1211	391	0.08	30.962	0.92	731.7783	1275.9337	code:98%	import  import #import
242	1595	391	0.08	31.042	0.199	1232.7115	2273.4038	math:75%	3 2 4 5 6 8
243	1780	391	0.08	31.121	0.6	745.7563	1148.7133	code:95%	#     ##  *   *
244	323	390	0.079	31.2	0.907	1634.1086	2581.9089	math:30%	 be #      Be        
245	1090	390	0.079	31.28	0.179	1122.5406	2046.9763	math:70%	} �  \\ \\ \\u  �
246	1234	389	0.079	31.359	0.932	1783.4557	2851.4624	web:44%	 and  och and  as
247	761	388	0.079	31.438	0.679	1599.5599	2746.0847	pile:32%	 on  On On on ON  ON
248	478	386	0.079	31.516	0.038	2241.8352	3163.208	web:51%	 court  hospital  store  classroom  surface  Earth
249	924	385	0.078	31.595	0.955	1580.7928	2580.9111	wiki:40%	 in in
250	1471	385	0.078	31.673	0.079	1010.7761	1905.8256	code:87%	_l _c _ _b _M _f
251	1627	385	0.078	31.751	0.907	1950.9038	2711.5933	math:42%	 ( ( (e (i (y
252	710	384	0.078	31.829	0.031	1485.2382	2221.9761	wiki:42%	Et Ter min Histor Trad Ord
253	89	382	0.078	31.907	1.0	1655.631	2734.5342	web:31%	 a
254	157	382	0.078	31.985	0.005	1678.8311	2755.2371	web:43%	co us lico ia i ET
255	216	382	0.078	32.062	0.47	933.8545	1672.5901	code:96%	            \t                              
256	1125	382	0.078	32.14	0.125	456.5671	1028.4186	wiki:93%	 such  United ,  However  part  one
257	553	381	0.078	32.218	0.088	1541.2825	2718.6658	pile:42%	 C  Python  R  Java  python JS
258	951	381	0.078	32.295	0.012	2052.9419	3044.9087	math:41%	transaction _object Key set  repr ys
259	984	380	0.077	32.372	0.043	1108.1642	2291.887	math:78%	in etz and ov man  Turing
260	274	379	0.077	32.45	1.0	1210.3943	2042.0836	wiki:42%	 the
261	295	379	0.077	32.527	0.899	1964.4974	2991.7878	math:31%	 and and  y  AND
262	1864	379	0.077	32.604	0.842	1747.9343	2706.5862	web:34%	 with -with  mit  med with /
263	1085	378	0.077	32.681	0.015	1657.0422	2557.95	wiki:77%	 racing  fish  Comedy ary  courts  script
264	1137	377	0.077	32.757	0.922	1486.0789	2539.3262	math:40%	 and ;  And 与  &
265	208	376	0.076	32.834	0.774	1338.788	2402.9082	web:97%	.\n !\n ”.\n "\n ).\n .\n\n
266	1487	376	0.076	32.91	0.081	1540.6993	2469.115	pile:41%	 carbon  hydrogen  oxygen ic  calcium imony
267	1496	376	0.076	32.987	0.848	856.0151	1423.4354	code:99%	    \t          
268	1582	376	0.076	33.063	0.029	1531.6003	2535.2085	wiki:78%	 branch  philosophy  statement  system  person  language
269	1824	375	0.076	33.14	0.015	2181.4275	3116.9124	web:54%	 excellence  love  independence  satisfaction  control  support
270	1882	374	0.076	33.216	0.069	1627.2279	2587.2258	math:63%	 m  in {   m 10
271	27	373	0.076	33.291	0.932	1795.9626	2940.082	wiki:34%	 in  IN  In in
272	236	373	0.076	33.367	0.321	1433.4443	2333.082	math:86%	}{ / { over  /  
273	560	373	0.076	33.443	0.056	1474.3445	2381.8103	code:94%	_id _file _name name (path _path
274	809	373	0.076	33.519	0.955	1325.5331	2382.6199	wiki:46%	 by  of
275	869	373	0.076	33.595	0.08	987.5693	1831.7439	web:38%	   able  such  don .  a
276	936	373	0.076	33.671	0.828	1386.7518	2588.0596	web:29%	, ), ; ,\n
277	1245	373	0.076	33.747	0.043	1464.0428	2449.9771	code:91%	lyph  m .review _item  ts ].
278	1984	373	0.076	33.823	0.554	971.5719	1883.1016	wiki:68%	 by  of  with  to  starring  under
279	1912	372	0.076	33.898	0.912	1843.1808	2710.1179	wiki:46%	 as as As -as  As 作为
280	1207	371	0.075	33.974	0.457	1251.8535	2227.302	code:86%	, ',             __( ",                    
281	1353	371	0.075	34.049	0.059	1892.7671	2982.8672	wiki:28%	 nature  structure  order  mechanisms  behavior  distribution
282	441	370	0.075	34.124	0.392	1378.7092	2215.4297	math:44%	 If If  if if 。如果 .If
283	1396	370	0.075	34.2	0.007	1551.979	2551.3015	wiki:50%	) ales _BORDER er es  cholesterol
284	1450	369	0.075	34.275	0.299	878.265	2132.6753	code:46%	/ /v \\ /p /article /n
285	1909	369	0.075	34.35	0.211	1578.4386	2381.02	pile:54%	:    ( { , =
286	1429	368	0.075	34.425	0.603	775.0703	1566.3962	code:89%	 if if \tif
287	124	367	0.075	34.499	0.48	1382.0342	2337.9521	math:91%	 = = =\\ )=  &=  :=
288	534	367	0.075	34.574	0.032	1601.6808	2572.9617	wiki:74%	dos ia L co aurus PO
289	782	366	0.074	34.648	0.087	1453.2605	2362.7883	math:94%	R G  X X (E 3
290	64	365	0.074	34.723	0.049	1576.4056	2343.1433	code:73%	f  tx 3 shape it all
291	1735	365	0.074	34.797	0.851	1651.7407	2533.8164	math:33%	 with with With  With having _WITH
292	132	364	0.074	34.871	0.404	1731.6058	2713.8403	web:40%	 make  made  making  makes  Make Make
293	774	362	0.074	34.945	0.202	1397.7413	2637.8604	wiki:67%	 largest -largest  greatest  populous  influential  highest
294	1581	362	0.074	35.018	0.036	1973.2423	2878.3508	web:36%	 book  game  novel  topic  site  reserve
295	4	360	0.073	35.092	0.075	1333.012	2310.385	wiki:62%	 Angola  Armenia  Azerbaijan  Australia  Alabama  Mexico
296	288	360	0.073	35.165	0.053	1446.8362	2037.8782	math:45%	\\ math   _ ^ -c
297	602	360	0.073	35.238	0.026	1629.9257	2489.1311	code:79%	1 (self (item 2 (data (app
298	511	359	0.073	35.311	0.147	1421.8507	2268.7979	wiki:95%	 Roman  Soviet antine  Byz ian  British
299	1053	359	0.073	35.384	0.865	1966.7583	2783.4854	web:67%	. ! .”
300	1451	359	0.073	35.457	0.029	1482.0635	2483.4194	wiki:88%	 flowering  chemical ated  programming od irical
301	521	358	0.073	35.53	0.714	1782.1516	2889.1951	wiki:29%	) ] ') ") .) %)
302	1076	356	0.072	35.602	0.267	1022.5436	2330.3376	math:94%	(x x  x (t (z theta
303	1849	356	0.072	35.675	0.149	861.7047	1739.6766	code:53%	@  at .w 3 . .s
304	1642	355	0.072	35.747	0.898	1253.5088	1972.3016	math:80%	 the  The The
305	1841	354	0.072	35.819	0.022	433.4726	823.2416	code:98%	 will  be  that  it
306	98	353	0.072	35.891	0.272	960.8276	1718.8433	math:32%	 there  There There ere
307	431	353	0.072	35.963	0.233	1407.4525	2590.5974	wiki:42%	 three  four  five  six  Four 5
308	1729	353	0.072	36.034	0.392	1512.1107	2493.0271	wiki:78%	 a  the  an  is  to  of
309	1021	352	0.072	36.106	0.863	1165.917	2416.0779	wiki:68%	 of  OF  de of  Of
310	1717	351	0.071	36.177	0.019	1880.8086	3013.5908	wiki:35%	 tool  piece  goddess  language  product  god
311	737	350	0.071	36.249	0.155	1647.1509	2804.1118	math:52%	 mass  energy  force  power  pressure  velocity
312	986	350	0.071	36.32	0.833	1147.9468	2138.1074	math:61%	  (  (  $ |= +
313	1485	350	0.071	36.391	0.834	1637.4548	2558.4194	wiki:42%	 and  or  the ,
314	140	349	0.071	36.462	0.084	1546.3549	2463.4875	wiki:99%	:   )\n\n \n\n  ( G
315	1153	349	0.071	36.533	0.175	862.5005	1067.6621	code:97%	 PARTICULAR  FITNESS  FOR NESS
316	1335	349	0.071	36.604	0.932	1616.3833	2612.5925	wiki:36%	, }, ), $,
317	1833	348	0.071	36.675	0.481	1859.3376	2690.7224	wiki:37%	 has  have  had has
318	569	347	0.071	36.745	0.398	1708.861	2485.4167	math:88%	$ }$ $$ )$ ) ]
319	1568	347	0.071	36.816	0.322	1392.2047	2282.3694	web:42%	 it  It It it "It
320	181	346	0.07	36.886	0.526	1184.8776	2088.6528	pile:47%	\n #  \n     \n\n        
321	410	346	0.07	36.957	0.088	1100.7256	2701.7432	pile:37%	2 1 3 4 0  III
322	724	346	0.07	37.027	0.069	1461.4144	2420.1858	math:84%	 spaces  functions  equations  processes  varieties  sets
323	1017	346	0.07	37.097	0.645	1385.7565	2387.7937	math:94%	  { ( = .  $
324	1454	346	0.07	37.168	0.087	1326.165	2425.5046	wiki:90%	 to  the    back  in ,
325	1721	346	0.07	37.238	0.766	1067.1693	1943.3264	code:84%	, param ,\n ',         ",
326	1338	345	0.07	37.308	0.062	1702.0828	3048.8618	pile:33%	 provided  found  generated  produced  formed  received
327	1566	345	0.07	37.379	0.08	1591.1941	2228.8892	pile:35%	10 25 40 30 50 35
328	414	344	0.07	37.448	0.069	1679.9563	2782.7878	math:73%	ive  closed  regular able ymmetric vable
329	524	344	0.07	37.518	1.0	797.8858	1387.5483	code:100%	 import
330	1573	344	0.07	37.588	0.177	1367.7114	2003.498	code:84%	XXXXXXXX  XXX XXXX  # XX X
331	425	343	0.07	37.658	0.083	780.791	1282.2013	wiki:93%	177 186 187 180 181 183
332	1055	343	0.07	37.728	0.03	1922.8762	2636.9797	code:95%	 setup Property  User  fields  Model  String
333	1791	342	0.07	37.798	0.354	1000.2771	1659.4279	math:94%	\\ math  \\ {\\ { }
334	51	341	0.069	37.867	0.242	1274.6077	2185.6838	code:85%	['  '  " ('  {'  {"
335	185	341	0.069	37.936	0.024	1088.9578	1937.6301	code:39%	ob oc C h ot f
336	1068	341	0.069	38.006	0.016	1872.9467	2997.2136	web:28%	ce lo  Analytics  scheme us AD
337	1132	341	0.069	38.075	0.339	1107.3875	2213.4177	wiki:90%	 "  meaning  '  (" ,  for
338	1758	341	0.069	38.144	0.476	1571.2343	2351.0479	wiki:31%	 "  “  '  ‘ "  `
339	949	340	0.069	38.214	0.48	1473.1003	2439.0129	pile:26%	 these  These  those These these ese
340	1176	340	0.069	38.283	0.081	727.3513	1476.5515	wiki:96%	us  the  Charles  Henry  John  George
341	697	338	0.069	38.351	0.955	1618.0634	2491.1296	math:60%	 of of
342	1171	338	0.069	38.42	0.148	1449.4141	2254.7539	code:80%	1 10 100 3 5 2
343	337	337	0.069	38.489	0.037	2055.2588	2973.8323	web:36%	 design  planning  processing  generation  management  detection
344	527	337	0.069	38.557	0.031	1261.632	2317.3113	code:89%	(f  data (s  client (file  session
345	1213	337	0.069	38.626	0.57	1980.8608	3020.6909	pile:29%	 not 't ’t  dont  no  doesnt
346	1876	337	0.069	38.694	0.891	1628.2677	2645.3093	wiki:40%	 also  juga ién also ,  further
347	572	336	0.068	38.763	0.193	1453.3402	2216.7612	code:83%	)\n ')\n \n '\n ()\n }\n
348	1075	336	0.068	38.831	0.688	680.5571	1330.2424	code:99%	\n\n \n\n\n \r\n\r\n ')\n\n
349	38	335	0.068	38.899	0.899	1136.0865	1780.8134	code:90%	\n \r\n ,\n )\n
350	888	335	0.068	38.967	0.179	1398.0842	2214.1523	wiki:97%	 the  is  a ,  power  by
351	111	334	0.068	39.035	0.932	1669.024	2651.4348	math:29%	 by  BY by  of
352	351	334	0.068	39.103	0.955	1835.5251	2658.9661	wiki:28%	 of  with
353	380	334	0.068	39.171	0.843	762.2422	1618.2156	wiki:34%	  - / _ \n
354	392	334	0.068	39.239	0.077	1719.6718	3313.6755	wiki:31%	ly ively ically ably  officially  formally
355	555	334	0.068	39.307	0.043	2005.8257	2768.7603	pile:99%	 apparatus   1  chamber  material  member
356	884	334	0.068	39.375	0.615	1661.0422	2663.0784	wiki:38%	's ’s ’ s 'S )
357	1427	334	0.068	39.443	0.714	1453.7268	2486.9016	wiki:35%	 as as
358	731	333	0.068	39.511	0.543	1446.5382	2427.1658	math:81%	 is  are  not  be is ,
359	1654	333	0.068	39.578	0.124	1170.1095	1999.8143	web:51%	  ,  well :  able  such
360	684	332	0.068	39.646	0.818	1446.932	2152.7639	code:100%	,                                                                   
361	1709	332	0.068	39.714	0.907	1631.9071	2753.4392	web:42%	 for  For  untuk  FOR for
362	322	331	0.067	39.781	0.321	1171.5629	2038.0266	code:75%	 ' ="  " =' (' ("
363	411	329	0.067	39.848	0.569	1656.7786	2697.6538	wiki:31%	 other  another  Other  Another other Other
364	631	329	0.067	39.915	1.0	1967.2665	2943.009	web:40%	 to
365	759	328	0.067	39.981	1.0	1206.3971	1884.3721	pile:47%	 (
